Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Vehicle Type
SE78641,Arizona,4654.84,No,Basic,Bachelor,1/16/11,Unemployed,M,,Suburban,Single,67,33.0,19,0.0,4,Personal Auto,Personal L2,Offer1,Call Center,577.39,Two-Door Car,Large,A
LV82913,Oregon,5715.79,No,Basic,College,1/19/11,Employed,M,69451.0,Urban,Married,72,3.0,93,0.0,5,Corporate Auto,Corporate L2,Offer2,Web,230.24,Four-Door Car,Medsize,
QM59790,,3142.88,,Extended,High School or Below,2/25/11,Unemployed,F,,Suburban,Divorced,86,17.0,35,0.0,1,Personal Auto,Personal L3,Offer4,Branch,412.8,Four-Door Car,Small,A
LX42787,California,2309.6,No,Basic,College,1/3/11,Retired,M,22567.0,Suburban,Single,69,6.0,12,0.0,1,Personal Auto,Personal L2,Offer4,Branch,496.8,Four-Door Car,Large,
HV93429,Oregon,5176.58,No,Basic,Master,2/4/11,Employed,F,23636.0,Rural,Married,65,19.0,10,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,81.45,Four-Door Car,Large,
AH41449,Nevada,7907.13,No,Basic,College,2/14/11,Employed,M,24666.0,Rural,Married,101,32.0,51,0.0,3,Personal Auto,Personal L2,Offer3,Branch,151.84,Sports Car,Medsize,A
SZ56338,Oregon,5597.12,Yes,Extended,High School or Below,1/27/11,Employed,F,37995.0,Suburban,Married,139,16.0,50,0.0,1,Personal Auto,Personal L3,Offer1,Branch,667.2,SUV,Medsize,A
UK76891,California,5233.99,No,Basic,College,2/4/11,Employed,F,63259.0,Suburban,Married,65,25.0,14,0.0,7,Corporate Auto,Corporate L3,Offer1,Agent,316.8,Four-Door Car,Medsize,A
FH36069,Arizona,21101.21,No,Basic,College,2/13/11,Employed,F,61347.0,Suburban,Married,106,27.0,66,0.0,2,Personal Auto,Personal L2,Offer4,Branch,604.24,SUV,Medsize,
PI47776,Oregon,2530.71,Yes,Basic,Bachelor,1/21/11,Employed,F,89451.0,Rural,Single,63,11.0,2,0.0,1,Corporate Auto,Corporate L3,Offer2,Web,61.77,Four-Door Car,Medsize,
YL65673,California,19045.5,No,Basic,Bachelor,1/24/11,Unemployed,F,,Suburban,Single,61,2.0,61,0.0,2,Personal Auto,Personal L2,Offer1,Agent,439.2,Four-Door Car,Small,
CB62406,Arizona,6803.6,No,Premium,High School or Below,2/4/11,Employed,M,43758.0,Suburban,Married,171,16.0,29,0.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,1129.93,,,A
UP80657,Washington,2674.73,Yes,Basic,College,2/15/11,Employed,M,56342.0,Suburban,Single,69,12.0,89,0.0,1,Corporate Auto,Corporate L3,Offer2,Call Center,331.2,Four-Door Car,Small,A
GP13187,California,14917.33,No,Basic,Master,1/12/11,Unemployed,F,,Suburban,Married,190,,36,,3,Personal Auto,Personal L3,Offer1,Branch,1368.0,Luxury Car,Medsize,A
AP52126,Oregon,13151.83,No,Basic,College,1/28/11,Employed,F,68562.0,Rural,Married,108,29.0,52,0.0,2,Personal Auto,Personal L3,Offer2,Branch,228.5,SUV,Medsize,A
GX37592,Nevada,5675.92,No,Basic,College,1/26/11,Employed,F,33257.0,Suburban,Married,72,15.0,14,1.0,4,Personal Auto,Personal L3,Offer3,Web,345.6,Four-Door Car,Medsize,
WK62379,Washington,8903.97,No,Premium,Bachelor,1/7/11,Medical Leave,F,15142.0,Suburban,Married,116,7.0,5,0.0,3,Personal Auto,Personal L2,Offer2,Branch,792.61,Two-Door Car,Small,A
XB89264,,5260.92,,Basic,High School or Below,2/20/11,Employed,F,60101.0,Rural,Married,66,34.0,74,0.0,3,Corporate Auto,Corporate L2,Offer2,Agent,1.33,Two-Door Car,Medsize,A
AK59340,,5601.14,,Basic,High School or Below,1/5/11,Employed,M,42360.0,Rural,Single,71,29.0,62,0.0,8,Corporate Auto,Corporate L3,Offer1,Branch,99.51,Four-Door Car,Medsize,A
KV56995,Nevada,3954.34,Yes,Basic,Bachelor,2/25/11,Disabled,M,18375.0,Suburban,Married,103,8.0,50,0.0,1,Personal Auto,Personal L2,Offer1,Branch,535.08,Sports Car,Large,
WI52672,California,13576.14,No,Basic,High School or Below,2/23/11,Employed,F,94153.0,Rural,Married,111,2.0,5,0.0,2,Corporate Auto,Corporate L3,Offer1,Web,4.85,SUV,Medsize,
PG67485,Nevada,9048.98,Yes,Basic,High School or Below,1/24/11,Unemployed,M,,Suburban,Married,119,9.0,8,0.0,3,Personal Auto,Personal L2,Offer2,Web,571.2,Sports Car,Medsize,A
BY22068,Arizona,23950.37,No,Extended,High School or Below,2/18/11,Employed,M,39335.0,Suburban,Married,201,0.0,11,0.0,2,Corporate Auto,Corporate L1,Offer4,Agent,964.8,Luxury SUV,Medsize,
QF21628,California,3095.63,No,Extended,High School or Below,1/15/11,Employed,M,53588.0,Suburban,Married,77,,71,,1,Personal Auto,Personal L3,Offer2,Branch,369.6,Four-Door Car,Medsize,A
IX60436,Arizona,2853.37,No,Basic,Bachelor,1/29/11,Employed,M,65099.0,Suburban,Married,73,8.0,19,2.0,1,Special Auto,Special L1,Offer2,Branch,350.4,Four-Door Car,Medsize,A
GQ46925,Arizona,5821.68,No,Premium,High School or Below,2/15/11,Employed,M,77563.0,Urban,Married,143,35.0,58,0.0,1,Personal Auto,Personal L1,Offer4,Call Center,546.0,Sports Car,Medsize,A
BN74268,Arizona,11763.15,No,Extended,College,1/4/11,Employed,F,28045.0,Suburban,Married,99,7.0,99,0.0,2,Personal Auto,Personal L3,Offer1,Branch,475.2,Four-Door Car,Medsize,
CQ15251,Oregon,5150.42,No,Basic,Bachelor,1/5/11,Employed,F,65629.0,Rural,Married,64,21.0,28,0.0,3,Personal Auto,Personal L3,Offer4,Call Center,89.41,Four-Door Car,Large,A
XH97711,California,2430.51,No,Basic,Bachelor,1/14/11,Employed,M,83140.0,Urban,Married,61,25.0,70,0.0,1,Corporate Auto,Corporate L3,Offer4,Agent,179.16,Four-Door Car,Medsize,A
ZO14864,Washington,3417.2,No,Extended,Master,2/11/11,Employed,F,42526.0,Urban,Divorced,86,12.0,71,0.0,1,Personal Auto,Personal L3,Offer2,Agent,287.54,Two-Door Car,Medsize,A
RW70500,Oregon,7996.6,No,Basic,Master,1/17/11,Employed,F,43657.0,Suburban,Married,66,21.0,74,0.0,2,Personal Auto,Personal L1,Offer1,Agent,316.8,Two-Door Car,Large,A
RP98585,Arizona,7610.2,No,Extended,Master,1/27/11,Employed,M,38086.0,Urban,Married,96,17.0,10,0.0,7,Personal Auto,Personal L3,Offer4,Agent,243.24,Two-Door Car,Medsize,A
YC33550,Oregon,2826.8,No,Basic,High School or Below,1/19/11,Employed,F,24224.0,Suburban,Divorced,71,7.0,64,0.0,1,Corporate Auto,Corporate L2,Offer2,Call Center,511.2,Two-Door Car,Small,
QG15435,Arizona,6242.6,No,Extended,College,1/19/11,Employed,F,75680.0,Rural,Married,78,27.0,6,0.0,6,Personal Auto,Personal L3,Offer2,Agent,136.79,Four-Door Car,Medsize,
HX90683,California,2472.47,Yes,Basic,College,1/20/11,Employed,F,63860.0,Urban,Married,62,26.0,81,0.0,1,Personal Auto,Personal L2,Offer2,Agent,208.6,Four-Door Car,Medsize,
PU71194,Oregon,35203.57,No,Premium,Bachelor,2/26/11,Employed,F,56343.0,Suburban,Divorced,295,11.0,69,0.0,2,Personal Auto,Personal L3,Offer1,Branch,1612.96,Luxury Car,Medsize,
IJ74908,Nevada,13115.41,No,Premium,Bachelor,2/4/11,Employed,M,20705.0,Rural,Divorced,171,8.0,12,1.0,3,Personal Auto,Personal L3,Offer1,Call Center,237.26,SUV,Medsize,A
BL54814,Arizona,4871.15,No,Basic,College,1/21/11,Employed,M,72648.0,Rural,Married,61,0.0,78,0.0,5,Personal Auto,Personal L2,Offer3,Agent,120.85,,,
LQ28707,Oregon,22658.54,Yes,Basic,Bachelor,1/25/11,Retired,M,23665.0,Suburban,Married,67,19.0,50,0.0,2,Personal Auto,Personal L3,Offer1,Branch,404.82,Four-Door Car,Medsize,
UB61619,Oregon,4059.57,No,Premium,Master,2/28/11,Disabled,F,11621.0,Suburban,Divorced,108,4.0,98,0.0,1,Personal Auto,Personal L1,Offer1,Agent,518.4,Four-Door Car,Medsize,
GF68713,Oregon,3207.47,No,Extended,Bachelor,2/15/11,Employed,M,24695.0,Suburban,Married,82,0.0,88,0.0,1,Personal Auto,Personal L3,Offer3,Web,393.6,Four-Door Car,Large,A
FE46445,Arizona,6965.42,No,Extended,High School or Below,1/22/11,Employed,F,25411.0,Urban,Married,86,8.0,73,0.0,8,Personal Auto,Personal L1,Offer2,Branch,242.81,Four-Door Car,Medsize,A
PN18863,California,5109.5,No,Basic,College,1/11/11,Employed,M,21277.0,Suburban,Divorced,66,1.0,42,0.0,9,Corporate Auto,Corporate L3,Offer2,Web,316.8,,,
WW85018,Washington,6293.96,No,Extended,Bachelor,1/27/11,Employed,M,45430.0,Suburban,Single,81,21.0,37,0.0,8,Personal Auto,Personal L1,Offer1,Agent,388.8,Two-Door Car,Large,
CH78309,Oregon,2906.3,No,Basic,College,1/6/11,Employed,M,72211.0,Rural,Married,73,12.0,1,0.0,1,Personal Auto,Personal L3,Offer2,Web,44.91,Four-Door Car,Medsize,
OH15677,California,3742.58,No,Basic,High School or Below,1/5/11,Unemployed,M,,Suburban,Single,110,35.0,78,1.0,1,Personal Auto,Personal L2,Offer1,Agent,1272.55,Sports Car,Medsize,A
QX45933,California,17840.2,No,Basic,Bachelor,2/23/11,Unemployed,M,,Suburban,Married,62,32.0,59,0.0,2,Personal Auto,Personal L1,Offer1,Agent,385.12,Four-Door Car,Small,
DS31990,,5093.48,,Basic,High School or Below,1/12/11,Unemployed,M,,Rural,Married,71,,55,,3,Personal Auto,Personal L3,Offer2,Call Center,150.88,Two-Door Car,Large,A
NF31087,Nevada,24723.18,No,Basic,High School or Below,1/9/11,Employed,F,44685.0,Suburban,Married,69,1.0,41,0.0,2,Personal Auto,Personal L2,Offer2,Agent,331.2,Four-Door Car,Medsize,A
YL74911,California,8714.92,Yes,Basic,College,2/21/11,Unemployed,F,,Suburban,Divorced,118,,64,,4,Personal Auto,Personal L3,Offer1,Agent,566.4,SUV,Medsize,A
PO90615,Arizona,2491.26,Yes,Basic,High School or Below,2/12/11,Medical Leave,F,25965.0,Suburban,Divorced,65,23.0,27,0.0,1,Personal Auto,Personal L2,Offer1,Agent,329.21,Four-Door Car,Medsize,A
WR85740,Arizona,8149.77,No,Basic,Doctor,1/26/11,Unemployed,F,,Suburban,Married,71,28.0,76,0.0,2,Corporate Auto,Corporate L3,Offer2,Call Center,340.8,Two-Door Car,Medsize,
ZQ11381,Arizona,16870.39,No,Extended,Bachelor,1/21/11,Employed,M,61063.0,Urban,Married,85,21.0,4,0.0,2,Personal Auto,Personal L2,Offer2,Agent,262.5,Four-Door Car,Medsize,
HP68848,Arizona,9165.72,No,Premium,High School or Below,1/23/11,Employed,F,53792.0,Suburban,Married,115,1.0,8,1.0,8,Corporate Auto,Corporate L3,Offer1,Call Center,552.0,Four-Door Car,Small,A
TK67721,Oregon,2274.67,No,Basic,High School or Below,1/5/11,Unemployed,F,,Suburban,Single,64,12.0,25,0.0,1,Corporate Auto,Corporate L2,Offer4,Call Center,621.97,Four-Door Car,Medsize,
XE22944,,4643.41,,Extended,Bachelor,2/25/11,Disabled,F,12261.0,Suburban,Divorced,125,26.0,80,0.0,1,Personal Auto,Personal L1,Offer1,Call Center,600.0,SUV,Medsize,
SP56326,Arizona,7453.0,No,Premium,High School or Below,1/1/11,Medical Leave,F,12195.0,Suburban,Divorced,101,29.0,35,0.0,7,Personal Auto,Personal L3,Offer1,Branch,670.58,Four-Door Car,Medsize,
HS94778,Oregon,11793.13,No,Basic,College,2/7/11,Employed,F,32214.0,Urban,Married,100,5.0,6,0.0,2,Personal Auto,Personal L3,Offer2,Call Center,296.56,SUV,Medsize,
JQ91314,Washington,3288.66,No,Extended,College,2/10/11,Unemployed,M,,Suburban,Single,97,,17,,1,Personal Auto,Personal L2,Offer2,Call Center,1026.32,Four-Door Car,Medsize,A
UR36912,California,2796.8,No,Basic,Bachelor,1/31/11,Employed,M,77362.0,Suburban,Married,70,14.0,25,0.0,1,Personal Auto,Personal L3,Offer2,Agent,386.6,Two-Door Car,Medsize,
JO63462,California,3308.0,No,Extended,Bachelor,2/28/11,Employed,M,79797.0,Rural,Divorced,84,27.0,46,0.0,1,Corporate Auto,Corporate L2,Offer4,Branch,31.76,Two-Door Car,Medsize,A
JP30654,Oregon,28685.83,No,Basic,College,2/24/11,Employed,F,48412.0,Suburban,Single,104,15.0,23,0.0,2,Personal Auto,Personal L3,Offer3,Agent,707.43,SUV,Medsize,A
AW77988,Oregon,35850.6,No,Basic,High School or Below,1/6/11,Disabled,M,17588.0,Suburban,Single,192,24.0,92,0.0,2,Personal Auto,Personal L1,Offer1,Web,1382.4,,,A
TW11712,Arizona,4574.92,No,Basic,Master,1/15/11,Employed,M,32906.0,Suburban,Single,115,18.0,17,0.0,1,Personal Auto,Personal L3,Offer1,Branch,552.0,SUV,Medsize,
SC43870,California,15862.18,No,Basic,Bachelor,1/29/11,Unemployed,M,,Suburban,Single,66,14.0,16,0.0,2,Corporate Auto,Corporate L3,Offer1,Web,475.2,Four-Door Car,Medsize,A
WO30947,,5348.3,,Basic,Bachelor,1/8/11,Employed,M,31572.0,Urban,Married,70,14.0,95,3.0,3,Personal Auto,Personal L2,Offer2,Call Center,292.43,Four-Door Car,Medsize,A
MU53244,California,5095.44,No,Extended,Bachelor,2/24/11,Unemployed,F,,Urban,Married,137,19.0,30,0.0,1,Personal Auto,Personal L2,Offer1,Web,452.3,SUV,Medsize,A
QN67807,,5387.41,,Basic,Bachelor,1/17/11,Employed,M,97316.0,Urban,Married,67,13.0,18,0.0,7,Personal Auto,Personal L3,Offer2,Branch,309.08,,,A
IA42992,Arizona,8267.12,No,Basic,High School or Below,1/19/11,Employed,M,36881.0,Suburban,Married,104,5.0,25,0.0,3,Special Auto,Special L3,Offer1,Agent,499.2,SUV,Medsize,A
MK15785,Nevada,4387.31,No,Basic,Master,2/24/11,Employed,M,48015.0,Suburban,Married,110,24.0,57,0.0,1,Corporate Auto,Corporate L2,Offer4,Call Center,528.0,Sports Car,Medsize,
KR90607,Washington,3721.39,No,Basic,College,2/26/11,Unemployed,F,,Suburban,Single,101,16.0,59,0.0,1,Personal Auto,Personal L1,Offer1,Agent,862.5,SUV,Medsize,
QL10321,California,5768.83,No,Basic,Doctor,2/6/11,Employed,F,92509.0,Rural,Married,71,16.0,43,0.0,8,Personal Auto,Personal L2,Offer3,Agent,109.3,Four-Door Car,Medsize,A
YJ88573,Nevada,2523.07,No,Basic,Master,1/16/11,Employed,M,43072.0,Suburban,Married,63,35.0,15,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,302.4,Four-Door Car,Large,
LI81655,California,6638.12,No,Premium,Master,2/26/11,Employed,M,21586.0,Suburban,Married,167,31.0,44,1.0,1,Personal Auto,Personal L2,Offer4,Agent,801.6,Sports Car,Medsize,
ML23548,Arizona,10548.54,No,Extended,Doctor,1/15/11,Employed,F,27458.0,Suburban,Married,131,18.0,62,1.0,3,Personal Auto,Personal L1,Offer3,Call Center,730.37,Sports Car,Medsize,A
XY78443,Arizona,2147.66,No,Basic,College,2/12/11,Unemployed,F,,Suburban,Single,62,32.0,45,0.0,1,Personal Auto,Personal L3,Offer4,Agent,297.6,Two-Door Car,Medsize,A
ST96866,Washington,3123.08,Yes,Basic,Bachelor,2/19/11,Unemployed,M,,Suburban,Married,101,1.0,83,4.0,1,Special Auto,Special L3,Offer1,Agent,960.12,SUV,Large,A
QH51455,,4004.55,,Premium,College,1/20/11,Unemployed,M,,Suburban,Married,107,21.0,65,0.0,1,Personal Auto,Personal L3,Offer2,Agent,513.6,Four-Door Car,Medsize,A
GB20532,Arizona,3011.27,No,Extended,High School or Below,1/17/11,Unemployed,M,,Suburban,Single,86,18.0,41,0.0,1,Personal Auto,Personal L3,Offer1,Web,569.13,Four-Door Car,Medsize,
AU77281,Oregon,2472.47,Yes,Basic,College,1/20/11,Employed,F,63860.0,Urban,Married,62,26.0,81,0.0,1,Personal Auto,Personal L2,Offer2,Agent,208.6,Four-Door Car,Medsize,
QA22158,Arizona,7122.27,No,Extended,College,2/23/11,Employed,F,64571.0,Suburban,Divorced,89,34.0,91,0.0,6,Corporate Auto,Corporate L3,Offer1,Call Center,452.12,,,A
KY55245,California,5169.5,Yes,Basic,High School or Below,2/26/11,Medical Leave,M,12430.0,Suburban,Single,73,22.0,13,0.0,4,Personal Auto,Personal L3,Offer2,Call Center,350.4,Four-Door Car,Medsize,A
QO77034,California,3567.5,Yes,Basic,Bachelor,1/7/11,Unemployed,M,,Suburban,Married,102,28.0,11,0.0,1,Personal Auto,Personal L3,Offer2,Agent,660.43,SUV,Medsize,
FX36546,,3679.14,,Extended,Master,1/17/11,Employed,M,60804.0,Rural,Married,92,16.0,50,0.0,1,Personal Auto,Personal L3,Offer2,Agent,213.23,Four-Door Car,Medsize,
QD28391,Washington,7425.85,No,Basic,College,1/31/11,Employed,M,84302.0,Rural,Married,62,19.0,63,0.0,2,Personal Auto,Personal L2,Offer2,Branch,76.61,Four-Door Car,Medsize,A
OA26316,Arizona,2221.36,No,Basic,College,2/13/11,Unemployed,F,,Suburban,Single,62,25.0,30,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,699.52,Four-Door Car,Medsize,
UW20734,,3590.69,,Extended,College,1/9/11,Employed,F,82918.0,Rural,Married,89,28.0,50,0.0,1,Personal Auto,Personal L2,Offer2,Branch,29.83,Two-Door Car,Small,A
OR27665,Washington,4927.71,No,Basic,Bachelor,1/29/11,Unemployed,F,,Rural,Married,67,29.0,40,0.0,9,Personal Auto,Personal L1,Offer1,Branch,132.44,Two-Door Car,Medsize,
LF61343,California,10529.01,No,Premium,High School or Below,2/9/11,Disabled,M,12688.0,Suburban,Married,140,5.0,96,0.0,3,Personal Auto,Personal L1,Offer1,Call Center,672.0,SUV,Medsize,A
XG47945,Oregon,5616.85,No,Basic,Master,1/26/11,Employed,M,48602.0,Suburban,Married,70,30.0,46,0.0,5,Corporate Auto,Corporate L3,Offer3,Agent,487.88,Two-Door Car,Small,
FL34139,California,3688.11,No,Basic,High School or Below,2/3/11,Unemployed,M,,Suburban,Single,63,,54,,7,Personal Auto,Personal L2,Offer1,Call Center,669.68,Four-Door Car,Medsize,
VB26229,Arizona,8697.88,No,Basic,Bachelor,1/31/11,Employed,M,29540.0,Suburban,Divorced,73,3.0,23,0.0,2,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,Medsize,
YN15967,California,7409.08,No,Extended,College,1/11/11,Employed,M,61160.0,Urban,Single,96,2.0,71,0.0,3,Corporate Auto,Corporate L2,Offer1,Branch,354.53,Two-Door Car,Small,A
LZ78622,California,6529.91,No,Extended,High School or Below,1/9/11,Employed,M,44379.0,Suburban,Married,83,10.0,12,1.0,8,Special Auto,Special L3,Offer2,Call Center,398.4,Four-Door Car,Medsize,
PQ72803,Washington,2886.45,Yes,Extended,High School or Below,1/20/11,Retired,F,10312.0,Suburban,Married,78,10.0,63,0.0,1,Personal Auto,Personal L3,Offer2,Agent,486.28,,,
AK59340,California,5601.14,No,Basic,High School or Below,1/5/11,Employed,M,42360.0,Rural,Single,71,29.0,62,0.0,8,Corporate Auto,Corporate L3,Offer1,Branch,99.51,Four-Door Car,Medsize,A
KW81128,Arizona,15228.2,No,Extended,College,2/11/11,Employed,F,95140.0,Rural,Divorced,126,6.0,52,0.0,2,Personal Auto,Personal L3,Offer1,Agent,45.05,Sports Car,Medsize,
IS45756,Arizona,4756.91,No,Extended,College,1/7/11,Employed,F,48938.0,Suburban,Divorced,121,23.0,20,0.0,1,Personal Auto,Personal L2,Offer1,Call Center,580.8,SUV,Large,
KY98596,Arizona,5033.39,No,Basic,Bachelor,1/3/11,Employed,M,68331.0,Suburban,Married,63,23.0,38,0.0,3,Personal Auto,Personal L1,Offer4,Branch,302.4,Four-Door Car,Small,
KO26461,Arizona,32269.85,No,Extended,High School or Below,2/27/11,Employed,M,41520.0,Urban,Married,90,18.0,70,0.0,2,Personal Auto,Personal L2,Offer1,Agent,289.9,Four-Door Car,Medsize,
ZF73834,California,2582.41,Yes,Basic,Bachelor,2/14/11,Employed,F,76731.0,Urban,Married,64,2.0,68,0.0,1,Personal Auto,Personal L3,Offer2,Agent,201.46,Four-Door Car,Medsize,A
XW98867,Oregon,12298.69,Yes,Basic,High School or Below,2/20/11,Medical Leave,M,17101.0,Suburban,Single,113,1.0,88,0.0,2,Personal Auto,Personal L2,Offer1,Call Center,542.4,SUV,Medsize,
JE32215,California,38887.9,No,Premium,Bachelor,2/14/11,Employed,F,44299.0,Rural,Married,107,0.0,73,0.0,2,Personal Auto,Personal L2,Offer2,Branch,180.09,Two-Door Car,Medsize,A
GV41938,California,46302.08,No,Premium,High School or Below,2/6/11,Unemployed,F,,Suburban,Married,151,33.0,94,1.0,2,Personal Auto,Personal L1,Offer1,Call Center,1087.2,SUV,Medsize,
FO36473,,4298.38,,Basic,Bachelor,2/17/11,Employed,F,31414.0,Suburban,Married,116,0.0,68,4.0,1,Personal Auto,Personal L3,Offer1,Call Center,556.8,SUV,Medsize,A
XH47201,California,6237.51,No,Extended,High School or Below,1/24/11,Unemployed,M,,Suburban,Married,90,2.0,46,1.0,3,Personal Auto,Personal L3,Offer4,Agent,432.0,Two-Door Car,Medsize,
OC32181,,5708.02,,Basic,High School or Below,2/10/11,Employed,F,70279.0,Urban,Single,71,17.0,25,0.0,7,Special Auto,Special L3,Offer4,Call Center,331.23,Four-Door Car,Medsize,
IA96447,California,6673.74,No,Premium,College,1/15/11,Employed,M,85019.0,Suburban,Married,167,26.0,92,0.0,1,Personal Auto,Personal L3,Offer2,Agent,801.6,Sports Car,Medsize,
DF66914,Arizona,32227.08,No,Basic,Bachelor,2/15/11,Employed,F,45331.0,Suburban,Married,100,0.0,8,0.0,2,Personal Auto,Personal L1,Offer2,Agent,572.64,SUV,Medsize,
UH89141,Oregon,33279.77,No,Basic,High School or Below,1/23/11,Employed,F,59130.0,Urban,Married,117,21.0,7,0.0,2,Corporate Auto,Corporate L3,Offer4,Call Center,436.53,Sports Car,Medsize,
HZ39407,Washington,2686.54,No,Basic,Master,2/18/11,Disabled,M,26713.0,Rural,Divorced,71,22.0,69,0.0,1,Personal Auto,Personal L1,Offer1,Agent,142.7,Four-Door Car,Medsize,A
XA47378,California,2871.44,No,Basic,Bachelor,1/11/11,Employed,F,23803.0,Suburban,Married,72,11.0,90,0.0,1,Corporate Auto,Corporate L2,Offer4,Branch,410.55,Two-Door Car,Small,A
MB54287,Oregon,2695.35,No,Basic,Bachelor,2/25/11,Unemployed,F,,Suburban,Single,73,23.0,59,0.0,1,Personal Auto,Personal L3,Offer1,Branch,780.57,Four-Door Car,Small,A
LN26837,California,2592.44,Yes,Basic,High School or Below,1/2/11,Employed,M,72421.0,Suburban,Married,65,8.0,23,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,312.0,Four-Door Car,Small,A
MK34957,Oregon,13297.71,No,Basic,College,2/19/11,Employed,F,50631.0,Suburban,Married,112,19.0,12,4.0,2,Special Auto,Special L1,Offer2,Agent,784.66,,,
WH63678,Oregon,2727.68,No,Basic,Master,1/15/11,Employed,M,74608.0,Suburban,Married,68,11.0,4,1.0,1,Corporate Auto,Corporate L2,Offer3,Web,407.68,Four-Door Car,Medsize,
ZR81759,California,2820.74,No,Basic,Master,2/2/11,Employed,M,35855.0,Urban,Married,70,13.0,51,0.0,1,Personal Auto,Personal L3,Offer3,Web,278.21,Two-Door Car,Medsize,
NK53938,Oregon,2599.97,No,Basic,Master,1/1/11,Employed,M,45181.0,Suburban,Married,65,21.0,68,0.0,1,Personal Auto,Personal L2,Offer4,Call Center,312.0,,,A
GM46746,Arizona,17776.82,No,Extended,High School or Below,1/17/11,Employed,F,86205.0,Suburban,Single,223,8.0,67,0.0,8,Personal Auto,Personal L3,Offer3,Agent,1070.4,Luxury Car,Small,
QQ89253,Oregon,10221.81,No,Extended,College,1/22/11,Unemployed,F,,Suburban,Married,134,23.0,16,0.0,4,Personal Auto,Personal L3,Offer1,Agent,643.2,SUV,Small,A
BL55947,California,5815.26,No,Basic,College,1/18/11,Employed,M,76675.0,Rural,Married,72,5.0,38,0.0,9,Personal Auto,Personal L2,Offer4,Agent,141.72,Four-Door Car,Small,A
DG21323,California,4758.56,No,Basic,High School or Below,2/13/11,Unemployed,F,,Suburban,Single,64,29.0,36,0.0,9,Personal Auto,Personal L3,Offer3,Branch,607.73,Four-Door Car,Medsize,
XI16714,Arizona,2554.03,No,Basic,High School or Below,2/19/11,Unemployed,F,,Suburban,Single,72,32.0,14,0.0,1,Corporate Auto,Corporate L1,Offer4,Web,405.8,Four-Door Car,Medsize,A
AF49027,Arizona,12827.43,No,Premium,College,2/26/11,Unemployed,F,,Suburban,Single,117,25.0,43,0.0,2,Personal Auto,Personal L3,Offer1,Agent,842.4,Two-Door Car,Medsize,
KK64803,California,27443.47,No,Extended,High School or Below,2/5/11,Employed,M,82320.0,Suburban,Married,99,4.0,2,1.0,2,Personal Auto,Personal L2,Offer2,Branch,475.2,Four-Door Car,Medsize,
VK37392,Arizona,7772.47,No,Extended,College,2/3/11,Employed,M,58345.0,Urban,Married,98,1.0,6,0.0,6,Personal Auto,Personal L1,Offer1,Branch,346.97,Four-Door Car,Small,A
FD11364,Oregon,6769.0,No,Extended,Bachelor,1/31/11,Employed,F,77001.0,Suburban,Single,85,,58,,3,Special Auto,Special L3,Offer2,Call Center,408.0,Four-Door Car,Medsize,A
AB69140,California,25093.57,No,Basic,Master,2/18/11,Employed,M,36007.0,Suburban,Married,70,14.0,85,0.0,2,Personal Auto,Personal L2,Offer1,Branch,336.0,Four-Door Car,Small,
DR38127,California,8573.46,No,Premium,College,1/10/11,Employed,M,46703.0,Suburban,Single,108,0.0,48,0.0,6,Personal Auto,Personal L3,Offer1,Branch,678.1,Four-Door Car,Small,
JQ60102,California,8392.62,No,Basic,Master,2/8/11,Unemployed,M,,Suburban,Married,111,6.0,51,0.0,4,Corporate Auto,Corporate L2,Offer3,Branch,617.4,Sports Car,Medsize,A
JP12645,Arizona,12036.62,Yes,Basic,Bachelor,2/10/11,Employed,M,44428.0,Suburban,Single,104,17.0,61,0.0,2,Personal Auto,Personal L3,Offer1,Call Center,499.2,SUV,Medsize,A
TU33850,Washington,4617.39,No,Basic,Bachelor,1/25/11,Medical Leave,F,16764.0,Suburban,Married,61,,79,,7,Personal Auto,Personal L3,Offer1,Branch,292.8,Four-Door Car,Medsize,
IV13886,California,7292.4,No,Basic,High School or Below,2/9/11,Unemployed,M,,Suburban,Married,68,,50,,2,Personal Auto,Personal L3,Offer1,Branch,415.99,Two-Door Car,Medsize,
XA77673,Nevada,16236.48,No,Basic,College,1/6/11,Unemployed,F,,Suburban,Single,74,24.0,54,2.0,2,Personal Auto,Personal L2,Offer2,Branch,680.75,Four-Door Car,Medsize,A
CP76842,Nevada,3352.87,No,Extended,College,2/14/11,Employed,F,95438.0,Rural,Married,83,25.0,76,0.0,1,Corporate Auto,Corporate L3,Offer2,Call Center,99.22,Two-Door Car,Medsize,A
DY27031,California,4448.56,No,Basic,High School or Below,1/28/11,Unemployed,M,,Suburban,Single,70,27.0,24,3.0,3,Personal Auto,Personal L1,Offer1,Agent,432.84,Four-Door Car,Large,
